izvirno_ime;iskalno_ime;geonames_ime;drzava;country_code;lat;lon;geonames_id;status;opomba
Tržič;Tržič;Tržič;Slovenija;SI;46.36357;14.31046;3188688.0;ročno potrjeno;Tržič, Občina Tržič, Slovenija
Št. Vid;Šentvid;Šentvid;Slovenija;SI;46.09639;14.46972;3191021.0;ročno potrjeno;Šentvid, Mestna občina Ljubljana, Slovenija
Bitolje;Bitovlje;Bitovlje;Bosna in Hercegovina;BA;44.13917;17.95222;3288493.0;ročno potrjeno;Bitovlje, FBiH, Bosna in Hercegovina
Breg;Breg;Breg pri Kočevju;Slovenija;SI;45.65922;14.84141;8990185.0;ročno potrjeno;Breg pri Kočevju, Občina Kočevje, Slovenija
Cerklje pri Krškem;Cerklje;Cerklje ob Krki;Slovenija;SI;45.88343;15.5128;3202710.0;ročno potrjeno;Cerklje ob Krki, Občina Brežice, Slovenija
Gorenja vas;Gorenja vas;Gorenja vas;Slovenija;SI;46.1074;14.14769;3200379.0;ročno potrjeno;Gorenja vas, Občina Gorenja vas - Poljane, Slovenija
Hercegovina;Hercegovina;Hercegovina;Bosna in Hercegovina;BA;43.0;17.83333;3199389.0;ročno potrjeno;Hercegovina, Bosna in Hercegovina
Hrastnik;Hrastnik;Hrastnik;Slovenija;SI;46.14655;15.08456;3199297.0;ročno potrjeno;Hrastnik, Občina Hrastnik, Slovenija
Konjice;Konjice;Slovenske Konjice;Slovenija;SI;46.33735;15.42329;3190530.0;ročno potrjeno;Slovenske Konjice, Občina Slovenske Konjice, Slovenija
Kosovo;Kosovo;Kosovo;Kosovo;XK;42.58333;20.91667;831053.0;ročno potrjeno;Kosovo, Kosovo
Kostanjevica;Kostanjevica;Kostanjevica na Krki;Slovenija;SI;45.8456;15.42036;3197581.0;ročno potrjeno;Kostanjevica na Krki, Občina Kostanjevica na Krki, Slovenija
Mladenovac;Mladenovac;Mladenovac;Srbija;RS;44.43861;20.69917;787893.0;ročno potrjeno;Mladenovac, Belgrade, Central Serbia, Srbija
Mompiano pri Bresci;Mompiano;Mompiano;Italija;IT;44.65427;8.10722;8970022.0;ročno potrjeno;Mompiano, Provincia di Cuneo, Piemont, Italija
Pančevo;Pančevo;Pančevo;Srbija;RS;44.87177;20.64167;787237.0;ročno potrjeno;Pančevo, South Banat, Vojvodina, Srbija
Pobrežje;Pobrežje;Pobrežje;Slovenija;SI;46.38472;15.87861;3193110.0;ročno potrjeno;Pobrežje, Občina Videm, Slovenija
Preserje;Preserje;Preserje;Slovenija;SI;45.95694;14.41889;3192504.0;ročno potrjeno;Preserje, Občina Brezovica, Slovenija
Primskovo pri Kranju;Primskovo;Primskovo;Slovenija;SI;45.97173;14.91038;6956381.0;ročno potrjeno;Primskovo, Občina Šmartno pri Litiji, Slovenija
Studenec;Studenec;Studenec;Slovenija;SI;45.76639;14.14861;3189633.0;ročno potrjeno;Studenec, Občina Postojna, Slovenija
Vranje;Vranje;Vranje;Srbija;RS;42.55139;21.90028;784227.0;ročno potrjeno;Vranje, Pčinja, Central Serbia, Srbija
Wuertenberg;Nemčija;Nemčija;Nemčija;DE;51.5;10.5;2921044.0;ročno potrjeno;Nemčija, Nemčija
Šmarje-Sap;Šmarje-Sap;Šmarje - Sap;Slovenija;SI;45.97618;14.61177;3190512.0;ročno potrjeno;Šmarje - Sap, Občina Grosuplje, Slovenija
Antijohija;Antiohija;Antakya;Turčija;TR;36.20655;36.15722;323779.0;ročno potrjeno;Antakya, Antakya İlçesi, Hatay, Turčija
Belapeč;Bela peč;Bela Peč;Slovenija;SI;46.2487;14.71781;8988986.0;ročno potrjeno;Bela Peč, Občina Kamnik, Slovenija
Bettina (dalmatinsko Primorje);Betina;Betina;Hrvaška;HR;43.824;15.60479;3204251.0;ročno potrjeno;Betina, Tisno, Šibensko-Kniniska, Hrvaška
Bezdan;Bezdan;Bezdan;Srbija;RS;45.84939;18.92402;3204249.0;ročno potrjeno;Bezdan, West Bačka, Vojvodina, Srbija
Bistrica;Bistrica;Občina Bistrica ob Sotli;Slovenija;SI;46.06001;15.64725;3344912.0;ročno potrjeno;Občina Bistrica ob Sotli, Občina Bistrica ob Sotli, Slovenija
Bos. Brod;Bosanski Brod;Brod;Bosna in Hercegovina;BA;45.13747;17.98722;3203651.0;ročno potrjeno;Brod, Republika Srpska, Bosna in Hercegovina
Brdo;Brdo;Brdo;Bosna in Hercegovina;BA;44.40884;18.43724;3243878.0;ročno potrjeno;Brdo, Bosna in Hercegovina
Breg pri Ptuju;Breg;Breg ob Savi;Slovenija;SI;46.20614;14.38242;3203468.0;ročno potrjeno;Breg ob Savi, Občina Šenčur, Slovenija
Brod;Brod;Slavonski Brod;Hrvaška;HR;45.16158;18.0163;3190586.0;ročno potrjeno;Slavonski Brod, Grad Slavonski Brod, Brodsko-Posavska, Hrvaška
